column_name,data_type
id,bigint
coord_ra,real
coord_decl,real
coord_htmId20,bigint
htmID,bigint
parent,bigint
flags_badcentroid,bit
centroid_sdss_x,real
centroid_sdss_y,real
centroid_sdss_xVar,real
centroid_sdss_xyCov,real
centroid_sdss_yVar,real
centroid_sdss_flags,bit
flags_pixel_edge,bit
flags_pixel_interpolated_any,bit
flags_pixel_interpolated_center,bit
flags_pixel_saturated_any,bit
flags_pixel_saturated_center,bit
flags_pixel_cr_any,bit
flags_pixel_cr_center,bit
centroid_naive_x,real
centroid_naive_y,real
centroid_naive_xVar,real
centroid_naive_xyCov,real
centroid_naive_yVar,real
centroid_naive_flags,bit
centroid_gaussian_x,real
centroid_gaussian_y,real
centroid_gaussian_xVar,real
centroid_gaussian_xyCov,real
centroid_gaussian_yVar,real
centroid_gaussian_flags,bit
shape_sdss_Ixx,real
shape_sdss_Iyy,real
shape_sdss_Ixy,real
shape_sdss_IxxVar,real
shape_sdss_IxxIyyCov,real
shape_sdss_IxxIxyCov,real
shape_sdss_IyyVar,real
shape_sdss_IyyIxyCov,real
shape_sdss_IxyVar,real
shape_sdss_flags,bit
shape_sdss_centroid_x,real
shape_sdss_centroid_y,real
shape_sdss_centroid_xVar,real
shape_sdss_centroid_xyCov,real
shape_sdss_centroid_yVar,real
shape_sdss_centroid_flags,bit
shape_sdss_flags_unweightedbad,bit
shape_sdss_flags_unweighted,bit
shape_sdss_flags_shift,bit
shape_sdss_flags_maxiter,bit
flux_psf,real
flux_psf_err,real
flux_psf_flags,bit
flux_psf_psffactor,real
flux_psf_flags_psffactor,bit
flux_psf_flags_badcorr,bit
flux_naive,real
flux_naive_err,real
flux_naive_flags,bit
flux_gaussian,real
flux_gaussian_err,real
flux_gaussian_flags,bit
flux_gaussian_psffactor,real
flux_gaussian_flags_psffactor,bit
flux_gaussian_flags_badcorr,bit
flux_sinc,real
flux_sinc_err,real
flux_sinc_flags,bit
centroid_record_x,real
centroid_record_y,real
classification_extendedness,real
aperturecorrection,real
aperturecorrection_err,real
refFlux,real
refFlux_err,real
objectId,bigint
coord_raVar,real
coord_radeclCov,real
coord_declVar,real
exposure_id,bigint
exposure_filter_id,int
exposure_time,real
exposure_time_mid,real
cluster_id,bigint
cluster_coord_ra,real
cluster_coord_decl,real
chunkID,int
subChunkID,int
